2019-12-13 14:22:35.924 INFO  [2224] Logger 0 Initialized
2019-12-13 14:22:36.043 VERB  [2224] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:22:36.045 INFO  [2224] Attempting to find a Myo ...
2019-12-13 14:22:36.047 INFO  [2224] Connected to a Myo
2019-12-13 14:22:36.048 VERB  [2224] Enabled my_myo
2019-12-13 14:24:07.360 INFO  [19940] Logger 0 Initialized
2019-12-13 14:24:07.480 VERB  [19940] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:24:07.480 WARN  [19940] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 14:24:07.487 INFO  [19940] Attempting to find a Myo ...
2019-12-13 14:24:07.489 INFO  [19940] Connected to a Myo
2019-12-13 14:24:07.490 VERB  [19940] Enabled my_myo
2019-12-13 14:34:48.399 INFO  [15132] Logger 0 Initialized
2019-12-13 14:34:48.522 VERB  [15132] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:34:48.522 WARN  [15132] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 14:34:48.525 INFO  [15132] Attempting to find a Myo ...
2019-12-13 14:34:48.526 INFO  [15132] Connected to a Myo
2019-12-13 14:34:48.527 VERB  [15132] Enabled my_myo
2019-12-13 14:39:50.558 INFO  [15152] Logger 0 Initialized
2019-12-13 14:39:50.684 VERB  [15152] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:39:50.684 WARN  [15152] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 14:39:50.690 INFO  [15152] Attempting to find a Myo ...
2019-12-13 14:39:50.691 INFO  [15152] Connected to a Myo
2019-12-13 14:39:50.691 VERB  [15152] Enabled my_myo
2019-12-13 14:42:52.397 INFO  [13924] Logger 0 Initialized
2019-12-13 14:42:52.536 VERB  [13924] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:42:52.536 WARN  [13924] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 14:42:52.540 INFO  [13924] Attempting to find a Myo ...
2019-12-13 14:42:52.541 INFO  [13924] Connected to a Myo
2019-12-13 14:42:52.541 VERB  [13924] Enabled my_myo
2019-12-13 14:43:27.879 INFO  [12816] Logger 0 Initialized
2019-12-13 14:43:27.997 VERB  [12816] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 14:43:27.997 WARN  [12816] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 14:43:28.001 INFO  [12816] Attempting to find a Myo ...
2019-12-13 14:43:28.002 INFO  [12816] Connected to a Myo
2019-12-13 14:43:28.003 VERB  [12816] Enabled my_myo
2019-12-13 15:01:46.443 INFO  [8056] Logger 0 Initialized
2019-12-13 15:01:46.566 VERB  [8056] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:01:46.566 WARN  [8056] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:01:46.572 INFO  [8056] Attempting to find a Myo ...
2019-12-13 15:01:46.575 INFO  [8056] Connected to a Myo
2019-12-13 15:01:46.576 VERB  [8056] Enabled my_myo
2019-12-13 15:02:22.188 INFO  [12404] Logger 0 Initialized
2019-12-13 15:02:22.312 VERB  [12404] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:02:22.312 WARN  [12404] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:02:22.315 INFO  [12404] Attempting to find a Myo ...
2019-12-13 15:02:22.315 INFO  [12404] Connected to a Myo
2019-12-13 15:02:22.316 VERB  [12404] Enabled my_myo
2019-12-13 15:03:33.968 INFO  [20120] Logger 0 Initialized
2019-12-13 15:03:34.087 VERB  [20120] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:03:34.087 WARN  [20120] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:03:34.095 INFO  [20120] Attempting to find a Myo ...
2019-12-13 15:03:34.097 INFO  [20120] Connected to a Myo
2019-12-13 15:03:34.097 VERB  [20120] Enabled my_myo
2019-12-13 15:06:34.019 INFO  [13188] Logger 0 Initialized
2019-12-13 15:06:34.142 VERB  [13188] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:06:34.142 WARN  [13188] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:06:34.146 INFO  [13188] Attempting to find a Myo ...
2019-12-13 15:06:34.147 INFO  [13188] Connected to a Myo
2019-12-13 15:06:34.148 VERB  [13188] Enabled my_myo
2019-12-13 15:07:23.380 INFO  [11336] Logger 0 Initialized
2019-12-13 15:07:23.501 VERB  [11336] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:07:23.501 WARN  [11336] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:07:23.505 INFO  [11336] Attempting to find a Myo ...
2019-12-13 15:07:23.506 INFO  [11336] Connected to a Myo
2019-12-13 15:07:23.506 VERB  [11336] Enabled my_myo
2019-12-13 15:08:31.813 INFO  [1280] Logger 0 Initialized
2019-12-13 15:08:31.934 VERB  [1280] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:08:31.935 WARN  [1280] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:08:31.940 INFO  [1280] Attempting to find a Myo ...
2019-12-13 15:08:31.941 INFO  [1280] Connected to a Myo
2019-12-13 15:08:31.942 VERB  [1280] Enabled my_myo
2019-12-13 15:09:14.672 INFO  [16856] Logger 0 Initialized
2019-12-13 15:09:14.794 VERB  [16856] Set Module UNNAMED_DEVICE channel numbers to 0,1,2,3,4,5,6,7
2019-12-13 15:09:14.795 WARN  [16856] Opened an existing mutex when trying to create NamedMutex mes_mutex
2019-12-13 15:09:14.799 INFO  [16856] Attempting to find a Myo ...
2019-12-13 15:09:14.801 INFO  [16856] Connected to a Myo
2019-12-13 15:09:14.801 VERB  [16856] Enabled my_myo
